mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
13.76923077,6.49E-07,0.000151155,0.016051158,0.314181565
13.84615385,5.99E-07,0.000141464,0.015365107,0.310507985
13.92307692,5.53E-07,0.000132385,0.014705999,0.306843537
14,5.11E-07,0.000123882,0.01407291,0.303188572
14.07692308,4.71E-07,0.000115918,0.013464941,0.299543448
14.15384615,4.35E-07,0.000108459,0.012881217,0.29590853
14.23076923,4.02E-07,0.000101475,0.012320885,0.292284187
14.30769231,3.71E-07,9.49E-05,0.011783117,0.288670797
14.38461538,3.42E-07,8.88E-05,0.011267108,0.285068742
14.46153846,3.16E-07,8.31E-05,0.010772073,0.281478408
14.53846154,2.92E-07,7.77E-05,0.010297254,0.277900189
14.61538462,2.69E-07,7.27E-05,0.009841911,0.274334482
14.69230769,2.48E-07,6.80E-05,0.009405329,0.27078169
14.76923077,2.29E-07,6.36E-05,0.008986813,0.267242217
14.84615385,2.12E-07,5.95E-05,0.00858569,0.263716475
14.92307692,1.95E-07,5.56E-05,0.008201306,0.260204877
15,1.80E-07,5.20E-05,0.00783303,0.25670784
15.07692308,1.66E-07,4.86E-05,0.00748025,0.253225783
15.15384615,1.54E-07,4.55E-05,0.007142373,0.249759129
15.23076923,1.42E-07,4.25E-05,0.006818826,0.246308302
15.30769231,1.31E-07,3.97E-05,0.006509053,0.242873728
15.38461538,1.21E-07,3.71E-05,0.00621252,0.239455834
15.46153846,1.12E-07,3.47E-05,0.005928708,0.236055047
15.53846154,1.03E-07,3.25E-05,0.005657116,0.232671798
15.61538462,9.51E-08,3.03E-05,0.005397261,0.229306513
15.69230769,8.78E-08,2.83E-05,0.005148676,0.225959621
15.76923077,8.10E-08,2.65E-05,0.00491091,0.222631549
15.84615385,7.48E-08,2.48E-05,0.004683528,0.219322724
15.92307692,6.90E-08,2.31E-05,0.004466112,0.216033569
16,6.37E-08,2.16E-05,0.004258256,0.212764507
16.07692308,5.88E-08,2.02E-05,0.00405957,0.209515957
16.15384615,5.43E-08,1.89E-05,0.00386968,0.206288335
16.23076923,5.01E-08,1.76E-05,0.003688222,0.203082054
16.30769231,4.63E-08,1.65E-05,0.003514849,0.199897522
16.38461538,4.27E-08,1.54E-05,0.003349223,0.196735145
16.46153846,3.94E-08,1.44E-05,0.003191023,0.193595322
16.53846154,3.64E-08,1.34E-05,0.003039937,0.190478447
16.61538462,3.36E-08,1.26E-05,0.002895666,0.187384908
16.69230769,3.10E-08,1.17E-05,0.002757921,0.184315087
16.76923077,2.86E-08,1.09E-05,0.002626427,0.18126936
16.84615385,2.64E-08,1.02E-05,0.002500916,0.178248097
16.92307692,2.44E-08,9.55E-06,0.002381133,0.175251657
17,2.25E-08,8.92E-06,0.002266833,0.172280394
17.07692308,2.08E-08,8.33E-06,0.002157778,0.169334654
17.15384615,1.92E-08,7.78E-06,0.002053742,0.166414773
17.23076923,1.77E-08,7.26E-06,0.001954507,0.163521078
17.30769231,1.63E-08,6.78E-06,0.001859864,0.160653888
17.38461538,1.51E-08,6.33E-06,0.001769613,0.157813511
17.46153846,1.39E-08,5.91E-06,0.00168356,0.155000245
17.53846154,1.29E-08,5.52E-06,0.00160152,0.152214379
17.61538462,1.19E-08,5.15E-06,0.001523317,0.149456191
17.69230769,1.10E-08,4.81E-06,0.001448781,0.146725947
17.76923077,1.01E-08,4.49E-06,0.001377747,0.144023902
17.84615385,9.33E-09,4.19E-06,0.001310061,0.141350301
17.92307692,8.61E-09,3.91E-06,0.001245571,0.138705375
18,7.95E-09,3.65E-06,0.001184135,0.136089346
18.07692308,7.34E-09,3.41E-06,0.001125615,0.133502422
18.15384615,6.77E-09,3.18E-06,0.001069879,0.130944798
18.23076923,6.25E-09,2.97E-06,0.001016801,0.128416659
18.30769231,5.77E-09,2.77E-06,0.000966261,0.125918175
18.38461538,5.33E-09,2.59E-06,0.000918141,0.123449505
18.46153846,4.92E-09,2.41E-06,0.000872333,0.121010794
18.53846154,4.54E-09,2.25E-06,0.000828729,0.118602174
18.61538462,4.19E-09,2.10E-06,0.000787229,0.116223765
18.69230769,3.87E-09,1.96E-06,0.000747735,0.113875674
18.76923077,3.57E-09,1.83E-06,0.000710154,0.111557993
18.84615385,3.30E-09,1.71E-06,0.000674398,0.109270803
18.92307692,3.04E-09,1.59E-06,0.000640382,0.10701417
19,2.81E-09,1.49E-06,0.000608025,0.104788148
19.07692308,2.59E-09,1.39E-06,0.000577249,0.102592779
19.15384615,2.39E-09,1.29E-06,0.000547981,0.100428089
19.23076923,2.21E-09,1.21E-06,0.000520148,0.098294094
19.30769231,2.04E-09,1.12E-06,0.000493684,0.096190794
19.38461538,1.88E-09,1.05E-06,0.000468524,0.09411818
19.46153846,1.74E-09,9.79E-07,0.000444606,0.092076227
19.53846154,1.60E-09,9.13E-07,0.000421872,0.090064898
19.61538462,1.48E-09,8.51E-07,0.000400264,0.088084146
19.69230769,1.37E-09,7.94E-07,0.00037973,0.086133909
19.76923077,1.26E-09,7.40E-07,0.000360217,0.084214114
19.84615385,1.16E-09,6.90E-07,0.000341677,0.082324675
19.92307692,1.07E-09,6.44E-07,0.000324063,0.080465497
20,9.92E-10,6.00E-07,0.000307331,0.078636471
20.07692308,9.16E-10,5.60E-07,0.000291437,0.076837478
20.15384615,8.45E-10,5.22E-07,0.000276342,0.075068387
20.23076923,7.80E-10,4.87E-07,0.000262007,0.073329057
20.30769231,7.20E-10,4.54E-07,0.000248394,0.071619336
20.38461538,6.65E-10,4.23E-07,0.000235469,0.069939062
20.46153846,6.14E-10,3.95E-07,0.000223198,0.068288063
20.53846154,5.67E-10,3.68E-07,0.000211549,0.066666157
20.61538462,5.23E-10,3.43E-07,0.000200491,0.065073153
20.69230769,4.83E-10,3.20E-07,0.000189996,0.06350885
20.76923077,4.46E-10,2.98E-07,0.000180036,0.06197304
20.84615385,4.11E-10,2.78E-07,0.000170584,0.060465504
20.92307692,3.80E-10,2.59E-07,0.000161615,0.058986017
21,3.51E-10,2.41E-07,0.000153105,0.057534345
21.07692308,3.24E-10,2.25E-07,0.000145033,0.056110246
21.15384615,2.99E-10,2.10E-07,0.000137374,0.054713472
21.23076923,2.76E-10,1.95E-07,0.000130111,0.053343767
21.30769231,2.54E-10,1.82E-07,0.000123221,0.052000868
21.38461538,2.35E-10,1.70E-07,0.000116687,0.050684506
21.46153846,2.17E-10,1.58E-07,0.000110492,0.049394408
21.53846154,2.00E-10,1.47E-07,0.000104617,0.048130293
21.61538462,1.85E-10,1.37E-07,9.90E-05,0.046891875
21.69230769,1.71E-10,1.28E-07,9.38E-05,0.045678863
21.76923077,1.57E-10,1.19E-07,8.88E-05,0.044490962
21.84615385,1.45E-10,1.11E-07,8.40E-05,0.043327872
21.92307692,1.34E-10,1.04E-07,7.95E-05,0.04218929
22,1.24E-10,9.65E-08,7.53E-05,0.041074907
22.07692308,1.14E-10,8.99E-08,7.12E-05,0.039984412
22.15384615,1.06E-10,8.38E-08,6.74E-05,0.038917491
22.23076923,9.74E-11,7.80E-08,6.38E-05,0.037873828
22.30769231,8.99E-11,7.27E-08,6.03E-05,0.036853101
22.38461538,8.30E-11,6.77E-08,5.71E-05,0.03585499
22.46153846,7.66E-11,6.31E-08,5.40E-05,0.03487917
22.53846154,7.07E-11,5.88E-08,5.11E-05,0.033925316
22.61538462,6.53E-11,5.48E-08,4.83E-05,0.032993099
22.69230769,6.02E-11,5.10E-08,4.57E-05,0.032082193
22.76923077,5.56E-11,4.75E-08,4.32E-05,0.031192268
22.84615385,5.13E-11,4.43E-08,4.09E-05,0.030322994
22.92307692,4.74E-11,4.12E-08,3.86E-05,0.02947404
23,4.37E-11,3.84E-08,3.65E-05,0.028645076
23.07692308,4.04E-11,3.58E-08,3.45E-05,0.027835772
23.15384615,3.73E-11,3.33E-08,3.27E-05,0.027045798
23.23076923,3.44E-11,3.10E-08,3.09E-05,0.026274824
23.30769231,3.18E-11,2.89E-08,2.92E-05,0.02552252
23.38461538,2.93E-11,2.69E-08,2.76E-05,0.02478856
23.46153846,2.71E-11,2.51E-08,2.61E-05,0.024072617
23.53846154,2.50E-11,2.33E-08,2.46E-05,0.023374364
23.61538462,2.31E-11,2.17E-08,2.33E-05,0.022693478
23.69230769,2.13E-11,2.02E-08,2.20E-05,0.022029637
23.76923077,1.96E-11,1.88E-08,2.08E-05,0.02138252
23.84615385,1.81E-11,1.75E-08,1.96E-05,0.020751808
23.92307692,1.67E-11,1.63E-08,1.86E-05,0.020137186
24,1.55E-11,1.52E-08,1.75E-05,0.019538339
24.07692308,1.43E-11,1.42E-08,1.66E-05,0.018954956
24.15384615,1.32E-11,1.32E-08,1.56E-05,0.018386728
24.23076923,1.22E-11,1.23E-08,1.48E-05,0.017833349
24.30769231,1.12E-11,1.14E-08,1.40E-05,0.017294515
24.38461538,1.04E-11,1.06E-08,1.32E-05,0.016769926
24.46153846,9.56E-12,9.91E-09,1.24E-05,0.016259285
24.53846154,8.82E-12,9.22E-09,1.18E-05,0.015762297
24.61538462,8.14E-12,8.59E-09,1.11E-05,0.015278671
24.69230769,7.52E-12,7.99E-09,1.05E-05,0.01480812
24.76923077,6.94E-12,7.44E-09,9.89E-06,0.014350359
24.84615385,6.41E-12,6.93E-09,9.34E-06,0.013905108
24.92307692,5.91E-12,6.45E-09,8.82E-06,0.013472089
25,5.46E-12,6.00E-09,8.32E-06,0.01305103
25.07692308,5.04E-12,5.59E-09,7.85E-06,0.012641659
25.15384615,4.65E-12,5.20E-09,7.41E-06,0.012243711
25.23076923,4.29E-12,4.84E-09,7.00E-06,0.011856923
25.30769231,3.96E-12,4.50E-09,6.60E-06,0.011481038
25.38461538,3.66E-12,4.19E-09,6.23E-06,0.011115799
25.46153846,3.38E-12,3.90E-09,5.88E-06,0.010760956
25.53846154,3.12E-12,3.63E-09,5.55E-06,0.010416262
25.61538462,2.88E-12,3.38E-09,5.23E-06,0.010081474
25.69230769,2.66E-12,3.14E-09,4.94E-06,0.009756354
25.76923077,2.45E-12,2.93E-09,4.66E-06,0.009440665
25.84615385,2.26E-12,2.72E-09,4.39E-06,0.009134177
25.92307692,2.09E-12,2.53E-09,4.15E-06,0.008836662
26,1.93E-12,2.36E-09,3.91E-06,0.008547897
26.07692308,1.78E-12,2.19E-09,3.69E-06,0.008267663
26.15384615,1.64E-12,2.04E-09,3.48E-06,0.007995745
26.23076923,1.52E-12,1.90E-09,3.28E-06,0.007731932
26.30769231,1.40E-12,1.77E-09,3.09E-06,0.007476015
26.38461538,1.29E-12,1.64E-09,2.92E-06,0.007227791
26.46153846,1.19E-12,1.53E-09,2.75E-06,0.006987062
26.53846154,1.10E-12,1.42E-09,2.59E-06,0.00675363
26.61538462,1.02E-12,1.32E-09,2.44E-06,0.006527306
26.69230769,9.38E-13,1.23E-09,2.31E-06,0.006307899
26.76923077,8.66E-13,1.15E-09,2.17E-06,0.006095227
26.84615385,7.99E-13,1.07E-09,2.05E-06,0.00588911
26.92307692,7.38E-13,9.93E-10,1.93E-06,0.005689369
27,6.81E-13,9.23E-10,1.82E-06,0.005495834
27.07692308,6.29E-13,8.59E-10,1.72E-06,0.005308334
27.15384615,5.80E-13,7.99E-10,1.62E-06,0.005126703
27.23076923,5.36E-13,7.43E-10,1.52E-06,0.004950781
27.30769231,4.95E-13,6.91E-10,1.44E-06,0.004780409
27.38461538,4.57E-13,6.43E-10,1.35E-06,0.004615431
27.46153846,4.21E-13,5.98E-10,1.27E-06,0.004455697
27.53846154,3.89E-13,5.57E-10,1.20E-06,0.004301059
27.61538462,3.59E-13,5.18E-10,1.13E-06,0.004151372
27.69230769,3.31E-13,4.81E-10,1.07E-06,0.004006495
27.76923077,3.06E-13,4.48E-10,1.00E-06,0.00386629
27.84615385,2.82E-13,4.17E-10,9.46E-07,0.003730623
27.92307692,2.61E-13,3.87E-10,8.91E-07,0.003599362
28,2.41E-13,3.60E-10,8.40E-07,0.00347238
28.07692308,2.22E-13,3.35E-10,7.91E-07,0.00334955
28.15384615,2.05E-13,3.12E-10,7.45E-07,0.003230752
28.23076923,1.89E-13,2.90E-10,7.01E-07,0.003115865
28.30769231,1.75E-13,2.70E-10,6.61E-07,0.003004774
28.38461538,1.61E-13,2.51E-10,6.22E-07,0.002897366
28.46153846,1.49E-13,2.33E-10,5.86E-07,0.002793531
28.53846154,1.37E-13,2.17E-10,5.52E-07,0.002693161
28.61538462,1.27E-13,2.02E-10,5.19E-07,0.00259615
28.69230769,1.17E-13,1.87E-10,4.89E-07,0.002502398
28.76923077,1.08E-13,1.74E-10,4.60E-07,0.002411806
28.84615385,9.98E-14,1.62E-10,4.33E-07,0.002324275
28.92307692,9.21E-14,1.51E-10,4.08E-07,0.002239712
29,8.50E-14,1.40E-10,3.84E-07,0.002158025
29.07692308,7.85E-14,1.30E-10,3.62E-07,0.002079126
29.15384615,7.24E-14,1.21E-10,3.40E-07,0.002002927
29.23076923,6.69E-14,1.13E-10,3.20E-07,0.001929343
29.30769231,6.17E-14,1.05E-10,3.01E-07,0.001858293
29.38461538,5.70E-14,9.74E-11,2.84E-07,0.001789697
29.46153846,5.26E-14,9.06E-11,2.67E-07,0.001723477
29.53846154,4.85E-14,8.42E-11,2.51E-07,0.001659557
29.61538462,4.48E-14,7.83E-11,2.36E-07,0.001597864
29.69230769,4.14E-14,7.28E-11,2.23E-07,0.001538327
29.76923077,3.82E-14,6.77E-11,2.09E-07,0.001480876
29.84615385,3.52E-14,6.29E-11,1.97E-07,0.001425444
29.92307692,3.25E-14,5.85E-11,1.85E-07,0.001371966
30,3.00E-14,5.44E-11,1.74E-07,0.001320378
30.07692308,2.77E-14,5.05E-11,1.64E-07,0.001270618
30.15384615,2.56E-14,4.70E-11,1.54E-07,0.001222626
30.23076923,2.36E-14,4.37E-11,1.45E-07,0.001176344
30.30769231,2.18E-14,4.06E-11,1.37E-07,0.001131716
30.38461538,2.01E-14,3.77E-11,1.28E-07,0.001088688
30.46153846,1.86E-14,3.51E-11,1.21E-07,0.001047204
30.53846154,1.71E-14,3.26E-11,1.14E-07,0.001007216
30.61538462,1.58E-14,3.03E-11,1.07E-07,0.000968671
30.69230769,1.46E-14,2.82E-11,1.00E-07,0.000931522
30.76923077,1.35E-14,2.62E-11,9.45E-08,0.000895722
30.84615385,1.24E-14,2.43E-11,8.88E-08,0.000861225
30.92307692,1.15E-14,2.26E-11,8.35E-08,0.000827987
31,1.06E-14,2.10E-11,7.86E-08,0.000795965
31.07692308,9.79E-15,1.95E-11,7.39E-08,0.000765118
31.15384615,9.04E-15,1.82E-11,6.94E-08,0.000735404
31.23076923,8.34E-15,1.69E-11,6.53E-08,0.000706786
31.30769231,7.70E-15,1.57E-11,6.14E-08,0.000679226
31.38461538,7.11E-15,1.46E-11,5.77E-08,0.000652687
31.46153846,6.56E-15,1.36E-11,5.42E-08,0.000627133
31.53846154,6.06E-15,1.26E-11,5.10E-08,0.00060253
31.61538462,5.59E-15,1.17E-11,4.79E-08,0.000578845
31.69230769,5.16E-15,1.09E-11,4.50E-08,0.000556047
31.76923077,4.76E-15,1.01E-11,4.23E-08,0.000534103
31.84615385,4.40E-15,9.39E-12,3.98E-08,0.000512984
31.92307692,4.06E-15,8.73E-12,3.74E-08,0.00049266
32,3.75E-15,8.11E-12,3.51E-08,0.000473104
32.07692308,3.46E-15,7.54E-12,3.30E-08,0.000454288
32.15384615,3.19E-15,7.00E-12,3.10E-08,0.000436186
