mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
7.519230769,0.062350104,0.210302329,0.339554159,0.623851729
7.538461538,0.062200941,0.209889497,0.338839851,0.622894092
7.557692308,0.062052491,0.209477941,0.338133671,0.62193642
7.576923077,0.061904748,0.209067658,0.33743558,0.620978715
7.596153846,0.061757706,0.208658644,0.336745538,0.620020979
7.615384615,0.061611361,0.208250897,0.336063503,0.619063214
7.634615385,0.061465708,0.207844413,0.335389435,0.61810542
7.653846154,0.061320743,0.207439189,0.33472329,0.6171476
7.673076923,0.061176459,0.207035223,0.334065025,0.616189754
7.692307692,0.061032853,0.206632511,0.333414596,0.615231884
7.711538462,0.060889919,0.206231052,0.332771956,0.614273992
7.730769231,0.060747653,0.205830842,0.332137061,0.613316079
7.75,0.060606051,0.205431878,0.331509862,0.612358147
7.769230769,0.060465107,0.205034159,0.330890312,0.611400197
7.788461538,0.060324817,0.204637682,0.330278363,0.610442231
7.807692308,0.060185176,0.204242443,0.329673965,0.60948425
7.826923077,0.060046181,0.203848442,0.329077068,0.608526256
7.846153846,0.059907826,0.203455676,0.328487621,0.607568251
7.865384615,0.059770107,0.203064142,0.327905573,0.606610236
7.884615385,0.05963302,0.202673839,0.327330871,0.605652212
7.903846154,0.05949656,0.202284764,0.326763463,0.604694182
7.923076923,0.059360724,0.201896914,0.326203295,0.603736146
7.942307692,0.059225506,0.201510289,0.325650312,0.602778107
7.961538462,0.059090903,0.201124885,0.325104461,0.601820066
7.980769231,0.05895691,0.200740701,0.324565684,0.600862025
8,0.058823524,0.200357735,0.324033927,0.599903986
8.019230769,0.058690739,0.199975985,0.323509133,0.598945949
8.038461538,0.058558553,0.199595449,0.322991244,0.597987918
8.057692308,0.058426961,0.199216124,0.322480202,0.597029893
8.076923077,0.058295959,0.198838009,0.32197595,0.596071876
8.096153846,0.058165543,0.198461102,0.321478429,0.59511387
8.115384615,0.05803571,0.198085401,0.320987579,0.594155875
8.134615385,0.057906454,0.197710904,0.320503341,0.593197894
8.153846154,0.057777774,0.197337609,0.320025654,0.592239929
8.173076923,0.057649663,0.196965514,0.319554458,0.591281981
8.192307692,0.05752212,0.196594618,0.319089692,0.590324052
8.211538462,0.05739514,0.196224917,0.318631295,0.589366144
8.230769231,0.057268719,0.195856411,0.318179204,0.58840826
8.25,0.057142854,0.195489097,0.317733359,0.5874504
8.269230769,0.057017541,0.195122973,0.317293695,0.586492567
8.288461538,0.056892776,0.194758038,0.31686015,0.585534763
8.307692308,0.056768556,0.194394289,0.316432662,0.58457699
8.326923077,0.056644877,0.194031724,0.316011167,0.58361925
8.346153846,0.056521736,0.193670342,0.315595601,0.582661545
8.365384615,0.05639913,0.193310139,0.3151859,0.581703877
8.384615385,0.056277054,0.192951115,0.314782,0.580746249
8.403846154,0.056155505,0.192593267,0.314383837,0.579788661
8.423076923,0.05603448,0.192236593,0.313991346,0.578831117
8.442307692,0.055913976,0.191881091,0.313604462,0.577873619
8.461538462,0.055793989,0.191526759,0.31322312,0.576916169
8.480769231,0.055674516,0.191173594,0.312847255,0.575958769
8.5,0.055555554,0.190821594,0.312476803,0.575001421
8.519230769,0.055437098,0.190470758,0.312111696,0.574044129
8.538461538,0.055319147,0.190121082,0.311751871,0.573086893
8.557692308,0.055201697,0.189772565,0.311397261,0.572129718
8.576923077,0.055084744,0.189425204,0.3110478,0.571172604
8.596153846,0.054968286,0.189078997,0.310703424,0.570215555
8.615384615,0.054852319,0.188733942,0.310364065,0.569258573
8.634615385,0.054736841,0.188390035,0.310029658,0.56830166
8.653846154,0.054621847,0.188047276,0.309700138,0.56734482
8.673076923,0.054507336,0.18770566,0.309375439,0.566388054
8.692307692,0.054393304,0.187365187,0.309055493,0.565431366
8.711538462,0.054279748,0.187025853,0.308740237,0.564474758
8.730769231,0.054166665,0.186687655,0.308429603,0.563518233
8.75,0.054054053,0.186350591,0.308123527,0.562561794
8.769230769,0.053941908,0.186014659,0.307821941,0.561605443
8.788461538,0.053830227,0.185679856,0.307524782,0.560649184
8.807692308,0.053719007,0.185346179,0.307231983,0.559693019
8.826923077,0.053608246,0.185013626,0.306943478,0.558736951
8.846153846,0.053497941,0.184682193,0.306659203,0.557780983
8.865384615,0.053388089,0.184351878,0.306379091,0.556825119
8.884615385,0.053278688,0.184022678,0.306103079,0.555869361
8.903846154,0.053169733,0.18369459,0.305831101,0.554913713
8.923076923,0.053061224,0.183367612,0.305563092,0.553958177
8.942307692,0.052953156,0.18304174,0.305298988,0.553002757
